app_id,title,genre,developer,publisher,franchise,release_date
10,Counter-Strike,Action,Valve,Valve,N/A,"Nov 1, 2000"
1002,Rag Doll Kung Fu,Indie,Mark Healey,Mark Healey,N/A,"Oct 12, 2005"
100400,Silo 2,Animation & Modeling,Nevercenter Ltd. Co.,Nevercenter Ltd. Co.,N/A,"Dec 19, 2012"
10090,Call of Duty: World at War,Action,Treyarch,Activision,Call of Duty,"Nov 18, 2008"
100980,3DCoat 4.9,"Animation & Modeling, Design & Illustration, Education, Photo Editing, Utilities, Game Development",Pilgway,Pilgway,N/A,"Oct 1, 2012"
10100,King's Quest™ Collection,Adventure,Sierra,Activision,N/A,"Sep 1, 2006"
10110,Space Quest™ Collection,Adventure,Sierra,Activision,N/A,"Sep 1, 2006"
10120,Aces of the Galaxy™,"Action, Casual",Artech Studios,Activision,N/A,"Jun 4, 2008"
10130,TimeShift™,Action,Saber Interactive,Activision,N/A,"Oct 30, 2007"
10140,3D Ultra™ Minigolf Adventures,Sports,Wanako Games,Activision,N/A,"Dec 20, 2006"
10150,Prototype™,"Action, Adventure",Radical Entertainment,Activision,Prototype,"Jun 10, 2009"
10180,Call of Duty®: Modern Warfare® 2 (2009),Action,Infinity Ward,Activision,"Call of Duty, Modern Warfare","Nov 12, 2009"
10220,Postal III,Action,"Trashmasters, Zoom Platform",Akella,N/A,"Dec 21, 2011"
102200,Runespell: Overture,"Adventure, Indie, RPG",Mystic Box,Mystic Box,N/A,"Jul 20, 2011"
10230,Dead Mountaineer's Hotel,Adventure,Electronic Paradise,Akella,N/A,"Nov 27, 2009"
10240,A Stroke of Fate: Operation Valkyrie,Adventure,SPLine,Akella,N/A,"Feb 13, 2009"
10250,PT Boats: Knights of the Sea,Simulation,Studio4,Akella,N/A,"Jan 30, 2009"
102500,Kingdoms of Amalur: Reckoning™,"Action, RPG","Big Huge Games, 38 Studios","38 Studios, Electronic Arts",N/A,N/A
10260,PT Boats: South Gambit,Simulation,studio4,Akella,N/A,"Dec 10, 2010"
102600,Orcs Must Die!,"Action, Indie, Strategy",Robot Entertainment,Robot Entertainment,N/A,"Oct 11, 2011"
10270,Disciples III: Reincarnation,"RPG, Strategy",Akella,Kalypso Media Digital,Disciples,"Feb 14, 2014"
102700,N/A,N/A,N/A,N/A,N/A,N/A
102810,Gatling Gears,"Action, Adventure, Indie",Vanguard Games,Vanguard Games,N/A,"Aug 30, 2011"
102840,Shank 2,"Action, Adventure, Indie",Klei Entertainment,Klei Entertainment,Klei Entertainment,"Feb 7, 2012"
102850,Warp,"Action, Adventure, Indie",Trapdoor Inc.,Electronic Arts,N/A,"Mar 21, 2012"
104000,iBomber Defense,"Indie, Strategy",Cobra Mobile,Cobra Mobile,N/A,"May 26, 2011"
104020,Storm in a Teacup,"Casual, Indie",Cobra Mobile,Cobra Mobile,N/A,"Jan 19, 2012"
