app_id,positive,negative,owners,price,tags
10,242768,6388,"10,000,000 .. 20,000,000",999,"{'Action': 5499, 'FPS': 4924, 'Multiplayer': 3471, 'Shooter': 3417, 'Classic': 2847, 'Team-Based': 1920, 'First-Person': 1760, 'Competitive': 1654, 'Tactical': 1391, ""1990's"": 1246, 'e-sports': 1232, 'PvP': 928, 'Old School': 828, 'Military': 665, 'Strategy': 640, 'Survival': 322, 'Score Attack': 304, '1980s': 285, 'Assassin': 248, 'Nostalgia': 205}"
1002,89,30,"20,000 .. 50,000",99,"{'2D Fighter': 47, 'Martial Arts': 41, 'Intentionally Awkward Controls': 31, 'Physics': 30, 'Indie': 29, 'Multiplayer': 29, 'Fighting': 27, 'Singleplayer': 27, 'Action': 26, '2D': 18}"
100400,61,24,"0 .. 20,000",5999,"{'Animation & Modeling': 23, 'Software': 11}"
10090,46341,3870,"2,000,000 .. 5,000,000",1499,"{'Zombies': 1197, 'World War II': 902, 'FPS': 892, 'Multiplayer': 797, 'Action': 760, 'Shooter': 748, 'Singleplayer': 669, 'Co-op': 668, 'First-Person': 604, 'Moddable': 598, 'War': 546, 'Online Co-Op': 481, 'Gore': 442, 'Historical': 406, 'Classic': 345, 'Survival': 318, 'Great Soundtrack': 293, 'Horror': 291, 'Tanks': 278, 'Adventure': 259}"
100980,129,17,"0 .. 20,000",0,"{'Animation & Modeling': 38, 'Utilities': 22, 'Design & Illustration': 21, 'Photo Editing': 21, 'Education': 21, 'Game Development': 21}"
10100,312,47,"100,000 .. 200,000",999,"{'Adventure': 68, 'Point & Click': 53, 'Classic': 38, 'Fantasy': 28, 'Retro': 26, 'Pixel Graphics': 16, 'Puzzle': 13, ""1990's"": 13, '1980s': 12, 'Singleplayer': 10, 'Old School': 8, '2D': 7, 'Female Protagonist': 7, 'Escape Room': 5}"
10110,314,58,"100,000 .. 200,000",659,"{'Adventure': 70, 'Point & Click': 53, 'Classic': 45, 'Comedy': 33, 'Retro': 32, 'Space': 24, ""1990's"": 21, 'Futuristic': 16, 'Robots': 14, 'Survival': 12, 'Epic': 12, 'Replay Value': 10, '2D': 10, 'Funny': 7, 'Singleplayer': 7, 'Remake': 7, 'Cult Classic': 7, 'Story Rich': 6, 'Escape Room': 6}"
10120,22,23,"0 .. 20,000",329,"{'Action': 23, 'Casual': 22, 'Space': 11, 'On-Rails Shooter': 8, 'Arcade': 6}"
10130,1055,270,"100,000 .. 200,000",999,"{'Action': 96, 'FPS': 91, 'Time Manipulation': 78, 'Sci-fi': 66, 'Shooter': 45, 'First-Person': 42, 'Singleplayer': 41, 'Atmospheric': 36, 'Bullet Time': 29, 'Classic': 25, 'Multiplayer': 22, 'Futuristic': 21, 'Time Travel': 21, 'Alternate History': 10, 'Gore': 8}"
10140,86,39,"0 .. 20,000",329,"{'Sports': 55, 'Mini Golf': 38, 'Golf': 35, 'Local Multiplayer': 9, 'Singleplayer': 6}"
10150,9681,2380,"1,000,000 .. 2,000,000",499,"{'Action': 573, 'Open World': 538, 'Gore': 357, 'Singleplayer': 338, 'Third Person': 321, 'Adventure': 318, 'Superhero': 313, 'Parkour': 292, 'Violent': 231, 'Hack and Slash': 207, 'Zombies': 205, 'Action-Adventure': 194, 'Sci-fi': 166, 'Story Rich': 142, 'Sandbox': 141, 'RPG': 130, 'Stealth': 115, 'Atmospheric': 94, 'Controller': 94, 'Horror': 88}"
10180,53921,3955,"5,000,000 .. 10,000,000",1499,"{'Action': 1825, 'FPS': 1517, 'Multiplayer': 1287, 'Shooter': 1016, 'First-Person': 841, 'Singleplayer': 778, 'War': 695, 'Military': 641, 'Co-op': 540, 'Online Co-Op': 509, 'PvP': 446, 'Great Soundtrack': 344, 'Story Rich': 325, 'Atmospheric': 247, 'Controller': 238, 'Adventure': 234, 'Tactical': 231, 'Linear': 190, 'Strategy': 165, 'Moddable': 157}"
10220,2348,2878,"200,000 .. 500,000",599,"{'Action': 124, 'Gore': 100, 'Dark Humor': 97, 'Violent': 81, 'Third-Person Shooter': 77, 'Funny': 68, 'Open World': 67, 'Third Person': 60, 'Singleplayer': 57, 'Shooter': 53, 'Comedy': 53, 'Psychological Horror': 46, 'Mature': 46, 'Sandbox': 32, 'Nudity': 31, 'Great Soundtrack': 27, 'Sexual Content': 21, 'Adventure': 19, 'Hentai': 17, 'Anime': 14}"
102200,286,99,"50,000 .. 100,000",999,"{'Card Battler': 50, 'Card Game': 47, 'Deckbuilding': 46, 'RPG': 43, 'Indie': 42, 'Casual': 29, 'Adventure': 25, 'Fantasy': 18, 'Singleplayer': 15}"
10230,42,70,"20,000 .. 50,000",799,"{'Adventure': 30, 'Point & Click': 18, 'Atmospheric': 5}"
10240,20,12,"20,000 .. 50,000",699,"{'Adventure': 27, 'Point & Click': 12, 'World War II': 6}"
10250,21,22,"0 .. 20,000",699,"{'Simulation': 25, 'Naval': 5}"
102500,11367,1553,"1,000,000 .. 2,000,000",0,"{'RPG': 901, 'Fantasy': 628, 'Open World': 595, 'Singleplayer': 516, 'Action RPG': 456, 'Action': 428, 'Adventure': 361, 'Third Person': 347, 'Loot': 248, 'Story Rich': 241, 'Magic': 221, 'Character Customization': 205, 'Hack and Slash': 179, 'Exploration': 119, 'Controller': 100, 'Sandbox': 93, 'Atmospheric': 81, 'Crafting': 75, 'Female Protagonist': 63, 'Great Soundtrack': 37}"
10260,15,13,"0 .. 20,000",699,"{'Simulation': 26, 'World War II': 5, 'Naval': 5}"
102600,7808,332,"500,000 .. 1,000,000",299,"{'Tower Defense': 503, 'Action': 303, 'Strategy': 261, 'Third Person': 208, 'Fantasy': 182, 'Indie': 170, 'Singleplayer': 169, 'Comedy': 134, 'Funny': 103, 'Third-Person Shooter': 98, 'Cartoony': 73, 'Magic': 65, 'Great Soundtrack': 55, 'Multiplayer': 50, 'Score Attack': 49, 'Shooter': 47, 'Addictive': 47, 'Adventure': 33, 'RPG': 30, 'Arcade': 28}"
10270,1229,486,"100,000 .. 200,000",999,"{'RPG': 165, 'Strategy': 148, 'Turn-Based Strategy': 141, 'Turn-Based': 92, 'Fantasy': 69, 'Dark Fantasy': 41, 'Gothic': 29, 'Singleplayer': 29, 'Multiplayer': 28, 'Atmospheric': 11, 'Adventure': 7, 'Classic': 7}"
102700,5184,4920,"1,000,000 .. 2,000,000",0,"{'Free to Play': 295, 'FPS': 200, 'Action': 175, 'Multiplayer': 166, 'Shooter': 164, 'Zombies': 129, 'First-Person': 104, 'Co-op': 97, 'Massively Multiplayer': 76, 'Singleplayer': 74, 'Online Co-Op': 52, 'Adventure': 48, 'Survival': 47, 'Open World': 44, 'Strategy': 41, 'Military': 29, 'Funny': 27, 'Gore': 27, 'Horror': 25, 'Controller': 21}"
102810,141,25,"20,000 .. 50,000",999,"{'Action': 26, 'Indie': 26, 'Adventure': 25, 'Twin Stick Shooter': 13, 'Co-op': 10, 'Steampunk': 9, 'Local Co-Op': 8, 'Shooter': 7}"
102840,2808,609,"200,000 .. 500,000",999,"{'Action': 153, ""Beat 'em up"": 126, 'Indie': 91, '2D': 85, 'Adventure': 71, 'Local Co-Op': 71, 'Side Scroller': 63, 'Co-op': 59, 'Platformer': 57, 'Gore': 52, 'Hack and Slash': 38, 'Mature': 27, 'Shooter': 26, 'Multiplayer': 25, 'Controller': 23, 'Singleplayer': 22, 'Stylized': 22, 'Violent': 17, 'Difficult': 15, 'Cartoon': 9}"
102850,266,125,"50,000 .. 100,000",999,"{'Action': 49, 'Adventure': 45, 'Indie': 37, 'Puzzle': 22, 'Stealth': 13, 'Aliens': 8, 'Top-Down': 6, 'Singleplayer': 5, 'Gore': 5}"
104000,181,64,"50,000 .. 100,000",599,"{'Strategy': 36, 'Tower Defense': 36, 'Indie': 30, 'Casual': 10}"
104020,100,46,"50,000 .. 100,000",499,"{'Indie': 38, 'Casual': 38, 'Platformer': 11}"
104100,65,31,"20,000 .. 50,000",399,"{'Indie': 47, 'Action': 43, 'Strategy': 35, 'Procedural Generation': 19, 'Pixel Graphics': 11, 'Rogue-like': 7}"
104200,3921,701,"500,000 .. 1,000,000",0,"{'Indie': 144, 'Platformer': 101, 'Adventure': 88, '2D': 84, 'Singleplayer': 67, 'Physics': 58, 'Puzzle': 56, 'Action': 34, 'Robots': 31, 'Casual': 20, 'Strategy': 18, 'Great Soundtrack': 17, 'Difficult': 17, 'Shooter': 15, ""Shoot 'Em Up"": 14, 'Sci-fi': 13, 'Family Friendly': 13, 'Arcade': 10, 'Funny': 8, 'Atmospheric': 7}"
10460,101,72,"50,000 .. 100,000",1499,"{'Action': 38, 'Arcade': 8, 'Third-Person Shooter': 8, 'Singleplayer': 7}"
104600,611,193,"200,000 .. 500,000",199,"{'Documentary': 71, 'Game Development': 33, 'Story Rich': 32, 'Action': 31, 'Puzzle': 31, 'Adventure': 30, 'Beautiful': 30, 'Movie': 28, 'Emotional': 26, 'Linear': 26, 'Feature Film': 26, 'Singleplayer': 19, 'Short': 7, 'Co-op': 6, 'Multiplayer': 6, 'Online Co-Op': 5}"
104700,3309,1609,"1,000,000 .. 2,000,000",0,"{'Free to Play': 291, 'Action': 164, 'Multiplayer': 131, 'MOBA': 107, 'Shooter': 107, 'Third-Person Shooter': 100, 'Strategy': 77, 'Funny': 58, 'Indie': 58, 'Sports': 58, 'Competitive': 52, 'Character Customization': 46, 'Massively Multiplayer': 31, 'Co-op': 27, 'Third Person': 25, 'Comedy': 22, 'First-Person': 21, 'Adventure': 17, 'Class-Based': 15, 'Singleplayer': 13}"
104900,21461,7028,"1,000,000 .. 2,000,000",99,"{'Dinosaurs': 872, 'Action': 572, 'FPS': 524, 'Multiplayer': 512, 'Online Co-Op': 442, 'Co-op': 407, 'Shooter': 377, 'Adventure': 309, 'Indie': 308, 'Open World': 245, 'Sci-fi': 234, 'First-Person': 216, 'Team-Based': 133, 'Third-Person Shooter': 124, 'Singleplayer': 121, 'PvP': 85, 'Mechs': 85, 'Epic': 68, 'Third Person': 60, 'Strategy': 56}"
10500,31915,3249,"1,000,000 .. 2,000,000",2499,"{'Strategy': 1108, 'Historical': 695, 'Military': 547, 'Grand Strategy': 503, 'Turn-Based Strategy': 404, 'War': 392, 'Tactical': 307, 'RTS': 303, 'Multiplayer': 279, 'Singleplayer': 222, 'Turn-Based': 185, 'Naval': 166, 'America': 148, 'Real Time Tactics': 140, 'Action': 126, 'Great Soundtrack': 126, 'Turn-Based Tactics': 113, 'Atmospheric': 95, 'Classic': 77, 'Adventure': 72}"
